domain,attack,posterior_threshold,equivalent_raw_threshold,decision_agreement
TRAFFIC,sybil,0.22,0.252,1.0
TRAFFIC,dos,0.32,0.41200000000000003,1.0
TRAFFIC,byzantine,0.17,0.17200000000000001,1.0
TRAFFIC,eclipse,0.13,0.10800000000000001,1.0
TRAFFIC,majority,0.4,0.54,1.0
TRAFFIC,routing,0.17,0.17200000000000001,1.0
ENVIRONMENTAL,sybil,0.22,0.22999999999999998,1.0
ENVIRONMENTAL,dos,0.32,0.38,1.0
ENVIRONMENTAL,byzantine,0.17,0.15500000000000003,1.0
ENVIRONMENTAL,eclipse,0.13,0.09500000000000001,1.0
ENVIRONMENTAL,majority,0.4,0.5,1.0
ENVIRONMENTAL,routing,0.17,0.15500000000000003,1.0
