domain,attack,detector,precision,recall,specificity,f1,FPR,time_to_detect
TRAFFIC,sybil,Bayesian posterior,0.47173709003892667,0.9356666666666668,0.8835555555555554,0.6272188286532135,0.11644444444444445,6.433333333333334
TRAFFIC,sybil,Raw windowed mean,0.47173709003892667,0.9356666666666668,0.8835555555555554,0.6272188286532135,0.11644444444444445,6.433333333333334
TRAFFIC,dos,Bayesian posterior,0.25742466562137084,0.861,0.7238888888888887,0.39632003835629653,0.27611111111111103,13.9
TRAFFIC,dos,Raw windowed mean,0.25742466562137084,0.861,0.7238888888888887,0.39632003835629653,0.27611111111111103,13.9
TRAFFIC,byzantine,Bayesian posterior,0.38009084074221866,0.9013333333333331,0.8350740740740741,0.5340176037881801,0.16492592592592592,9.866666666666667
TRAFFIC,byzantine,Raw windowed mean,0.38009084074221866,0.9013333333333331,0.8350740740740741,0.5340176037881801,0.16492592592592592,9.866666666666667
TRAFFIC,eclipse,Bayesian posterior,0.1549315868731152,0.9893333333333331,0.4004074074074075,0.2679079495209775,0.5995925925925928,1.0666666666666667
TRAFFIC,eclipse,Raw windowed mean,0.1549315868731152,0.9893333333333331,0.4004074074074075,0.2679079495209775,0.5995925925925928,1.0666666666666667
TRAFFIC,majority,Bayesian posterior,0.29509953010478235,0.9140000000000001,0.7574074074074076,0.44614906534419946,0.24259259259259255,8.6
TRAFFIC,majority,Raw windowed mean,0.29509953010478235,0.9140000000000001,0.7574074074074076,0.44614906534419946,0.24259259259259255,8.6
TRAFFIC,routing,Bayesian posterior,0.1903187811095523,0.9009999999999999,0.5739259259259258,0.3142407672157913,0.42607407407407405,9.9
TRAFFIC,routing,Raw windowed mean,0.1903187811095523,0.9009999999999999,0.5739259259259258,0.3142407672157913,0.42607407407407405,9.9
ENVIRONMENTAL,sybil,Bayesian posterior,0.10913067385891181,1.0,0.09296296296296297,0.19678595002208518,0.907037037037037,0.0
ENVIRONMENTAL,sybil,Raw windowed mean,0.10913067385891181,1.0,0.09296296296296297,0.19678595002208518,0.907037037037037,0.0
ENVIRONMENTAL,dos,Bayesian posterior,0.3279951301002565,0.8803333333333334,0.7995925925925927,0.47792208336663905,0.20040740740740742,11.966666666666667
ENVIRONMENTAL,dos,Raw windowed mean,0.3279951301002565,0.8803333333333334,0.7995925925925927,0.47792208336663905,0.20040740740740742,11.966666666666667
ENVIRONMENTAL,byzantine,Bayesian posterior,0.14523391189815008,0.9959999999999998,0.34866666666666657,0.25350234194782756,0.6513333333333332,0.4
ENVIRONMENTAL,byzantine,Raw windowed mean,0.14523391189815008,0.9959999999999998,0.34866666666666657,0.25350234194782756,0.6513333333333332,0.4
ENVIRONMENTAL,eclipse,Bayesian posterior,0.10000000000000003,1.0,0.0,0.18181818181818177,1.0,0.0
ENVIRONMENTAL,eclipse,Raw windowed mean,0.10000000000000003,1.0,0.0,0.18181818181818177,1.0,0.0
ENVIRONMENTAL,majority,Bayesian posterior,1.0,0.721,1.0,0.8341827777115028,0.0,20.233333333333334
ENVIRONMENTAL,majority,Raw windowed mean,1.0,0.721,1.0,0.8341827777115028,0.0,20.233333333333334
ENVIRONMENTAL,routing,Bayesian posterior,0.10000000000000003,1.0,0.0,0.18181818181818177,1.0,0.0
ENVIRONMENTAL,routing,Raw windowed mean,0.10000000000000003,1.0,0.0,0.18181818181818177,1.0,0.0
