part,axis,level,domain,incumbent,incumbent_agreement,share,switches,switches_sd,latency,throughput,posture
A: domain shift,node scale,x0.1,Traffic,PBFT,1.0,0.5000000000000001,12.0,1.0,0.18185811373951508,0.6403873078074847,0.8393660629229416
A: domain shift,node scale,x0.1,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.6812687365050435,0.7370313289288927
A: domain shift,node scale,x0.5,Traffic,PBFT,1.0,0.5000000000000001,12.0,1.0,0.18185811373951508,0.6403873078074847,0.8393660629229416
A: domain shift,node scale,x0.5,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.6812687365050435,0.7370313289288927
A: domain shift,node scale,calibrated,Traffic,PBFT,1.0,0.5000000000000001,12.0,1.0,0.18185811373951508,0.6403873078074847,0.8393660629229416
A: domain shift,node scale,calibrated,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.6812687365050435,0.7370313289288927
A: domain shift,node scale,x2,Traffic,PBFT,1.0,0.5000000000000001,12.0,1.0,0.18185811373951508,0.6403873078074847,0.8393660629229416
A: domain shift,node scale,x2,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.6812687365050435,0.7370313289288927
A: domain shift,node scale,x5,Traffic,PBFT,1.0,0.5000000000000001,12.0,1.0,0.18185811373951508,0.6403873078074847,0.8393660629229416
A: domain shift,node scale,x5,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.6812687365050435,0.7370313289288927
A: domain shift,base latency,x0.5,Traffic,PBFT,1.0,0.5216000000000001,11.8,1.0954451150103324,0.17164824828316227,0.6413242373143939,0.8459664354667916
A: domain shift,base latency,x0.5,Environmental,PoS,1.0,0.986,1.0,0.0,0.5870863530143577,0.6812687365050435,0.7290488089288928
A: domain shift,base latency,calibrated,Traffic,PBFT,1.0,0.5000000000000001,12.0,1.0,0.18185811373951508,0.6403873078074847,0.8393660629229416
A: domain shift,base latency,calibrated,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.6812687365050435,0.7370313289288927
A: domain shift,base latency,x2,Traffic,PBFT,1.0,0.45859999999999995,12.8,0.4472135954999579,0.20394555862691802,0.6385461846824022,0.8260703092011271
A: domain shift,base latency,x2,Environmental,PBFT,0.8,0.9108,0.2,0.44721359549995804,1.0,0.7553727388659625,0.8722604924916304
A: domain shift,base latency,x4,Traffic,PBFT,1.0,0.4828,12.4,0.8944271909999159,0.24587636547486075,0.6391471905065216,0.834118090866341
A: domain shift,base latency,x4,Environmental,PBFT,0.6,0.8118000000000001,0.4,0.5477225575051662,1.0,0.7463695427896364,0.8602640407375391
A: domain shift,packet loss,x0.5,Traffic,PBFT,1.0,0.4998,12.0,1.0,0.18188431479692424,0.6426504972190945,0.8393603931692443
A: domain shift,packet loss,x0.5,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.7012990142343434,0.7403061337850806
A: domain shift,packet loss,calibrated,Traffic,PBFT,1.0,0.5000000000000001,12.0,1.0,0.18185811373951508,0.6403873078074847,0.8393660629229416
A: domain shift,packet loss,calibrated,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.6812687365050435,0.7370313289288927
A: domain shift,packet loss,x3,Traffic,PBFT,1.0,0.4614,12.8,0.4472135954999579,0.18255267334585484,0.6298482244907436,0.8250706151134034
A: domain shift,packet loss,x3,Environmental,PoS,1.0,0.986,1.0,0.0,0.8703867267035887,0.6011287365050435,0.7230861469288927
A: domain shift,packet loss,x6,Traffic,PBFT,1.0,0.4568,12.8,0.4472135954999579,0.182711491055688,0.6159369553868524,0.8238029752123885
A: domain shift,packet loss,x6,Environmental,PoS,1.0,0.9549999999999998,1.0,0.0,0.8672827251074858,0.48306404870229214,0.7018481449288928
B: held-out domain,industrial automation,"800 nodes, private 5G",Industrial,PBFT,1.0,0.6,8.6,0.8944271909999159,0.20632017572304062,0.6170920518432379,0.8263835401134033
