sigma,draw,seed,T_top_mech,T_top_share,T_switches,T_cdacf_posture,T_PoW_posture,T_PoS_posture,T_PBFT_posture,T_PoA_posture,T_DPoS_posture,E_top_mech,E_top_share,E_switches,E_cdacf_posture,E_PoW_posture,E_PoS_posture,E_PBFT_posture,E_PoA_posture,E_DPoS_posture
0.05,0,1000,PBFT,0.547,10,0.8546635637026607,0.7258256329670503,0.7370065059601038,0.9015305382835817,0.7056135766902352,0.8066708763330318,PoS,0.986,1,0.7128842419119005,0.7269632045158169,0.7386276592521622,0.9037024197909788,0.7056936072739525,0.809626317886659
0.05,1,1001,PoS,0.468,12,0.7571837706377089,0.7409364239847263,0.7577055904027608,0.8672827205232843,0.6753582854517547,0.7714227888882382,PoS,0.986,1,0.7314383459817411,0.7404445951354899,0.7582819672018609,0.8672337660898356,0.6733114906333244,0.7732183891426375
0.05,2,1002,PBFT,0.569,10,0.8197355597638848,0.8135307522093158,0.7807331270389631,0.8704997239585237,0.7082507050634219,0.7647052062187895,PoS,0.986,1,0.7601491939261015,0.8165157547780588,0.7834979629882309,0.8723366065557018,0.7076555311302918,0.7667707463698105
0.05,3,1003,PoS,0.409,10,0.7704167236282553,0.7685185892869439,0.7612649529472404,0.8861805089120025,0.7242753853756335,0.7931076027941765,PoS,0.986,1,0.7374083182650645,0.7706922059331444,0.7640655151317742,0.8891524509169558,0.7250729828482976,0.79641217956743
0.05,4,1004,PoS,0.371,13,0.8245493297418657,0.7747312358326007,0.7919792369163206,0.869891479723373,0.694206857616921,0.7974158763394836,PoS,0.986,1,0.7739769174103085,0.7750967577718668,0.7939525227431334,0.8707683392779533,0.6930256150196932,0.7992555895653412
0.05,5,1005,PBFT,0.589,8,0.8126659964946439,0.7224239164996309,0.7257573401572319,0.898433845537981,0.705113484302055,0.735530151154721,PoS,0.986,1,0.7003944271553908,0.7209929364492094,0.7251740571490745,0.8960227889593435,0.7022799839324392,0.7349446892755888
0.05,6,1006,PBFT,0.526,10,0.839207329522844,0.7890363415925297,0.7417967335773249,0.8765174258077512,0.7151746867012176,0.7695504713470206,PoS,0.986,1,0.7164667285680357,0.7891566987769183,0.7421554143356455,0.8766727531452682,0.7135201492068991,0.7711054076222761
0.05,7,1007,PBFT,0.59,7,0.8457931540803236,0.7330847857399829,0.7777174554544489,0.8912825231715494,0.7555970600361317,0.7586532087864283,PoS,0.986,1,0.7528840889154835,0.7301424719115185,0.7771877913322802,0.888352126529207,0.7510489652465461,0.7568687769561139
0.05,8,1008,PBFT,0.689,7,0.8529624991337624,0.7688693413533318,0.7213822752337554,0.9023122820793872,0.7169362349306904,0.81342492828936,PoS,0.986,1,0.6985220151703773,0.7706646493666349,0.7231368820203762,0.9043242340969438,0.7172865264111917,0.8163998791015666
0.05,9,1009,PoS,0.485,9,0.8197592649494969,0.7739966463802452,0.8377622908862571,0.8913246179239586,0.7099004930020372,0.7194741891796627,PoS,0.986,1,0.832930871501771,0.7742261314831715,0.8394725915782505,0.8924397145240003,0.7086336895250473,0.7198469396965731
0.05,10,1010,PBFT,0.55,8,0.8463059392916974,0.7748515456485007,0.806656740203031,0.8813654530114177,0.7125275891344793,0.7386294927190398,PoS,0.986,1,0.7929155360121688,0.7752239097903744,0.8084548167580928,0.8828537834436873,0.711438349441072,0.7392477697632669
0.05,11,1011,PBFT,0.583,10,0.8309607012728091,0.7648891595137199,0.7589782955249911,0.9025789636118314,0.6643944344777056,0.7626936942785981,PoS,0.986,1,0.7337434621505153,0.7656740836919536,0.7603762411819731,0.903383713131959,0.6635420992704396,0.7643645059724015
0.05,12,1012,PBFT,0.466,8,0.8236058596697562,0.6961013817774105,0.7972006331291627,0.8838103516247072,0.7301186572527761,0.7587854452288343,PoS,0.986,1,0.779264668993444,0.694487089504009,0.7975771001668029,0.8828707714651748,0.7271390969683778,0.7584622934302242
0.05,13,1013,PoS,0.469,11,0.7953700220298006,0.7826191917277316,0.7565809155089405,0.8627812945826523,0.6957364853727775,0.7931744007624814,PoS,0.986,1,0.7319372338722062,0.7842758747189079,0.7583832647991512,0.8649154987579241,0.6957302766362338,0.7961817815148304
0.05,14,1014,PBFT,0.708,8,0.8280221807138772,0.7689432815110064,0.6831099369170925,0.8851262906631584,0.6450013346078168,0.7336261102856309,PoS,0.986,1,0.6609579899225492,0.7696973935166778,0.6835821034965126,0.8871206624679776,0.6439300023866559,0.7344960167205156
0.05,15,1015,PBFT,0.574,11,0.8356243207007467,0.7764437288458828,0.7730423111011959,0.900882427383759,0.7018656850806079,0.7814013436754956,PoS,0.986,1,0.7522904450951664,0.7793427470108983,0.7776280001642215,0.904202472733636,0.7028657706579686,0.7859143379663064
0.05,16,1016,PBFT,0.691,7,0.8599603632212276,0.766529771170176,0.7782502884528706,0.8832031411200009,0.7395192750666291,0.7794863133388008,PoS,0.986,1,0.7573506905779369,0.7680316028779715,0.7815472737055169,0.8858912291447867,0.7397640626302814,0.7827398015739826
0.05,17,1017,PBFT,0.434,8,0.8281465356585327,0.7860949190191875,0.7548900436760101,0.8848474616258498,0.7493756314943387,0.7895234547073491,PoS,0.986,1,0.7295413450318027,0.7870630105658086,0.7558832365440513,0.8875195335110452,0.7490415576718414,0.792352521943983
0.05,18,1018,PoS,0.512,10,0.7713501284024488,0.7664994489135998,0.769812843439307,0.8589788534029028,0.6988215682858936,0.7981595689791174,PoS,0.986,1,0.7439477866817472,0.7649099223025408,0.7701540546632957,0.8570132041474965,0.6957179204946013,0.798176491834159
0.05,19,1019,PBFT,0.71,9,0.8790373320766797,0.7509430193930013,0.7875882471404285,0.9025910430751356,0.691877983151713,0.7991856891822045,PoS,0.986,1,0.7703832709525346,0.7526939662320403,0.7913288845656554,0.9050479591908724,0.6921831915320882,0.8027378650396866
0.05,20,1020,PoS,0.501,8,0.8273994414914312,0.7146475684946881,0.8053796075506027,0.9014472376812191,0.7344210947534354,0.7966889154583924,PoS,0.986,1,0.7905366329785282,0.7136781454610993,0.8067084919556304,0.9016371145187528,0.7324077683802087,0.7980742918733821
