configuration,domain,latency_mean,latency_sd,throughput_mean,throughput_sd,mitigation_mean,mitigation_sd,switches_mean,switches_sd
Baseline (main configuration),Traffic,0.18185811373951508,0.002310106724081319,0.6403873078074847,0.002212454293051039,0.8393660629229416,0.01838477387898369,12.0,1.0
Baseline (main configuration),Environmental,0.8703867267035887,0.0010970679687188525,0.6812687365050435,0.000685104653883965,0.7370313289288927,0.0011204527066417133,1.0,0.0
Improvement threshold 0.04 (-50%),Traffic,0.18318832316066838,0.0019622067831410036,0.6380870731465951,0.0016220300923181778,0.8251426734469028,0.015793860045569697,13.0,0.0
Improvement threshold 0.04 (-50%),Environmental,0.8703867267035887,0.0010970679687188525,0.6812687365050435,0.000685104653883965,0.7370313289288927,0.0011204527066417133,1.0,0.0
Improvement threshold 0.12 (+50%),Traffic,0.18261171934909345,0.0011538158665761185,0.6241397185782205,0.0012479801908229977,0.8540022303511978,0.0009241794964912924,6.4,0.5477225575051661
Improvement threshold 0.12 (+50%),Environmental,0.8703867267035887,0.0010970679687188525,0.6812687365050435,0.000685104653883965,0.7370313289288927,0.0011204527066417133,1.0,0.0
Dwell x0.5 (Traffic 5 / Env 8),Traffic,0.18217451997785836,0.0021981857345336935,0.6402810460690025,0.0021101954401505276,0.8393083429229415,0.018365204732577637,12.0,1.0
Dwell x0.5 (Traffic 5 / Env 8),Environmental,0.8710812797426029,0.0010850532402463368,0.6806099609687897,0.0006849487701094027,0.7370313289288927,0.0011204527066417133,1.0,0.0
Dwell x2 (Traffic 20 / Env 30),Traffic,0.18126504992442938,0.002588021479284497,0.6403096126828787,0.0028107633537250818,0.8394815029229417,0.018424019343023283,12.0,1.0
Dwell x2 (Traffic 20 / Env 30),Environmental,0.868880455029379,0.0010930478449812135,0.682683216272683,0.0006864125006263882,0.7370313289288927,0.0011204527066417133,1.0,0.0
Bayesian window 10 (-50%),Traffic,0.19095232966778225,0.0012070199616355814,0.6299206108374173,0.002754979314901931,0.7640769806540493,0.01434406650811384,13.8,0.4472135954999579
Bayesian window 10 (-50%),Environmental,0.8703867267035887,0.0010970679687188525,0.6812687365050435,0.000685104653883965,0.7201937809288926,0.0003660589280314344,1.0,0.0
Bayesian window 40 (+100%),Traffic,0.18132751230407568,0.0013791732471801308,0.6328497936533667,0.0016574199923080366,0.8503857344731138,0.0009763911927414643,6.4,0.5477225575051662
Bayesian window 40 (+100%),Environmental,0.8703867267035887,0.0010970679687188525,0.6812687365050435,0.000685104653883965,0.7345159069288927,0.00021128601900240735,1.0,0.0
