domain,seed,system,latency,throughput,mitigation_response
TRAFFIC,5,CDACF,0.17895076653766176,0.6426875066674944,0.8527688207327615
TRAFFIC,5,PoW,0.29610078007618257,0.32473721905948966,0.7661561411375606
TRAFFIC,5,PoS,0.19694357782080027,0.5773106116613149,0.7628345331665056
TRAFFIC,5,PBFT,0.1723256305932002,0.6494744381189793,0.8863704364832395
TRAFFIC,5,PoA,0.19078909101390024,0.6639072034105122,0.7044154370009994
TRAFFIC,5,DPoS,0.1477076833656002,0.6855563513478116,0.7755571303456125
TRAFFIC,6,CDACF,0.1814734362439326,0.6413227055242019,0.8541039685462143
TRAFFIC,6,PoW,0.30106526352942964,0.323920814317474,0.7665037301574114
TRAFFIC,6,PoS,0.20013735420197795,0.575859225453287,0.7630534732156616
TRAFFIC,6,PBFT,0.17512018492673068,0.647841628634948,0.8866174928307056
TRAFFIC,6,PoA,0.19388306188316615,0.6622381092712801,0.7046411827608363
TRAFFIC,6,DPoS,0.15010301565148346,0.6838328302257783,0.7756171870453276
TRAFFIC,7,CDACF,0.18069632193944238,0.6417412611479574,0.8514513168663819
TRAFFIC,7,PoW,0.3023238498000364,0.3235183049792551,0.7651280911736594
TRAFFIC,7,PoS,0.1994061230604649,0.5751436532964536,0.7619356781639631
TRAFFIC,7,PBFT,0.1744803576779068,0.6470366099585102,0.8860374630983415
TRAFFIC,7,PoA,0.19317468171482538,0.6614152012909215,0.7034520808603851
TRAFFIC,7,DPoS,0.14955459229534868,0.6829830882895385,0.7749628470582585
TRAFFIC,8,CDACF,0.18494459365351762,0.6373683925165184,0.8194019094546797
TRAFFIC,8,PoW,0.301995657645867,0.3241314552704974,0.7661411760926634
TRAFFIC,8,PoS,0.20089830264361647,0.5762336982586621,0.7628208157658298
TRAFFIC,8,PBFT,0.17578601481316436,0.6482629105409948,0.886758532946533
TRAFFIC,8,PoA,0.19462023068600343,0.6626687529974613,0.7042787760926633
TRAFFIC,8,DPoS,0.1506737269827123,0.6842775166821612,0.7756959414192831
TRAFFIC,9,CDACF,0.183225450323021,0.6388166731812513,0.8191042990146706
TRAFFIC,9,PoW,0.30076586874012023,0.3246727329210268,0.7660277207814719
TRAFFIC,9,PoS,0.20008233578029092,0.577195969637381,0.7624945163662593
TRAFFIC,9,PBFT,0.1750720438077545,0.6493454658420535,0.8863946092515321
TRAFFIC,9,PoA,0.19382976278715683,0.663775365082988,0.7042320215553624
TRAFFIC,9,DPoS,0.15006175183521817,0.6854202139443897,0.7751634511857685
ENVIRONMENT,5,CDACF,0.8719416822361838,0.6816562979163303,0.7380263633140298
ENVIRONMENT,5,PoW,0.9994806014451943,0.3826969315081477,0.7672568809014426
ENVIRONMENT,5,PoS,0.873367027539393,0.6803501004589293,0.7649313609861838
ENVIRONMENT,5,PBFT,0.8021155304110577,0.7653938630162954,0.8885191416870544
ENVIRONMENT,5,PoA,0.8557906803719547,0.7824026155277686,0.7039849433140299
ENVIRONMENT,5,DPoS,0.7280325943157897,0.8079157442949784,0.7785398092153212
ENVIRONMENT,6,CDACF,0.8695421487258695,0.68211063769906,0.7365915494051228
ENVIRONMENT,6,PoW,0.9990491195440393,0.38294832657279365,0.765587491316565
ENVIRONMENT,6,PoS,0.8709452273468938,0.6807970250182998,0.7633936063213042
ENVIRONMENT,6,PBFT,0.8004080621673104,0.7658966531455873,0.886105441126314
ENVIRONMENT,6,PoA,0.8536513380809725,0.7829165787710448,0.7024159394051227
ENVIRONMENT,6,DPoS,0.7272762749849038,0.8084464672092311,0.776699361107577
ENVIRONMENT,7,CDACF,0.8705658599783619,0.6802954799834613,0.7384162268231005
ENVIRONMENT,7,PoW,0.9992366053133398,0.3819333500248238,0.7677867304872145
ENVIRONMENT,7,PoS,0.8719769924371736,0.6789926222663536,0.7652885514607213
ENVIRONMENT,7,PBFT,0.8013948052900236,0.7638667000496476,0.8897706513249407
ENVIRONMENT,7,PoA,0.854698964665748,0.7808415156063065,0.7045050068231006
ENVIRONMENT,7,DPoS,0.7281371241919786,0.8063037389412947,0.7791387322665924
ENVIRONMENT,8,CDACF,0.8691497180606241,0.6810020278290646,0.7359231962595297
ENVIRONMENT,8,PoW,0.9994151949486835,0.38232243228682006,0.7648924562595298
ENVIRONMENT,8,PoS,0.870554678322027,0.679684324065458,0.7628108605561793
ENVIRONMENT,8,PBFT,0.8003324422416024,0.7646448645736401,0.8857971060556759
ENVIRONMENT,8,PoA,0.8533124456430538,0.7816369726752767,0.7016610662595297
ENVIRONMENT,8,DPoS,0.7280257953725109,0.8071251348277313,0.776491049429342
ENVIRONMENT,9,CDACF,0.8707342245169044,0.6812792390973011,0.7361993088426809
ENVIRONMENT,9,PoW,0.9991777506883592,0.38248537190353255,0.7651685688426809
ENVIRONMENT,9,PoS,0.8721147354644863,0.6799739944951689,0.7630004262273584
ENVIRONMENT,9,PBFT,0.801324972057737,0.7649707438070651,0.885698858304567
ENVIRONMENT,9,PoA,0.8547847090947344,0.7819700936694443,0.7018867788426808
ENVIRONMENT,9,DPoS,0.7277070154262876,0.8074691184630131,0.7764164661612324
